report_year,Population,Violent,Homicides,Rapes,Assaults,Robberies,Total_CrimeRate,Homicides_Rate,Rapes Rate,Assaults_Rate,Robberies_Rate
1975,286238,2383,30,181,1353,819,832.5,10.5,63.2,472.7,286.1
1975,112478,278,5,28,132,113,247.2,4.5,24.9,117.4,100.5
1975,490584,8033,185,443,3518,3887,1637.4,37.7,90.3,717.1,792.3
1975,116656,611,7,44,389,171,523.8,6.0,37.7,333.5,146.6
1975,300400,1215,33,190,463,529,404.5,11.0,63.3,154.1,176.1
1975,642154,1259,25,137,347,750,196.1,3.9,21.3,54.0,116.8
1975,864100,16086,259,463,6309,9055,1861.6,30.0,53.6,730.1,1047.9
1975,616120,11386,119,453,3036,7778,1848.0,19.3,73.5,492.8,1262.4
1975,422276,3350,63,192,755,2340,793.3,14.9,45.5,178.8,554.1
1975,262103,1937,68,71,976,822,739.0,25.9,27.1,372.4,313.6
1975,3150000,37160,818,1657,12514,22171,1179.7,26.0,52.6,397.3,703.8
1975,433367,3578,64,261,1508,1745,825.6,14.8,60.2,348.0,402.7
1975,659931,10403,288,491,2524,7100,1576.4,43.6,74.4,382.5,1075.9
1975,572797,3980,62,416,1100,2402,694.8,10.8,72.6,192.0,419.4
1975,864665,7655,237,547,3485,3386,885.3,27.4,63.3,403.1,391.6
1975,508140,4960,74,480,1838,2568,976.1,14.6,94.5,361.7,505.4
1975,1432444,30387,633,1424,7013,21317,2121.3,44.2,99.4,489.6,1488.2
1975,369000,1618,21,122,635,840,438.5,5.7,33.1,172.1,227.6
1975,487905,805,21,104,247,433,165.0,4.3,21.3,50.6,88.8
1975,381275,1939,69,169,494,1207,508.6,18.1,44.3,129.6,316.6
1975,176500,1141,25,84,465,567,646.5,14.2,47.6,263.5,321.3
1975,705262,1596,58,169,319,1050,226.3,8.2,24.0,45.2,148.9
1975,1372342,8924,347,588,1567,6422,650.3,25.3,42.9,114.2,468.0
1975,503411,4655,95,351,1117,3092,924.7,18.9,69.7,221.9,614.2
1975,542792,4579,91,316,2445,1727,843.6,16.8,58.2,450.5,318.2
1975,489094,6072,114,302,2575,3081,1241.5,23.3,61.8,526.5,629.9
1975,249186,2594,37,169,1043,1345,1041.0,14.9,67.8,418.6,539.8
1975,340758,3189,54,169,1007,1959,935.9,15.9,49.6,295.5,574.9
1975,1022888,9792,138,471,6128,3055,957.3,13.5,46.1,599.1,298.7
1975,2729878,30405,554,1768,13493,14590,1113.8,20.3,64.8,494.3,534.5
1975,646483,5429,120,521,1805,2983,839.8,18.6,80.6,279.2,461.4
1975,113176,267,2,22,145,98,235.9,1.8,19.4,128.1,86.6
1975,619795,6702,94,174,4008,2426,1081.3,15.2,28.1,646.7,391.4
1975,350742,6213,98,178,3280,2657,1771.4,27.9,50.8,935.2,757.5
1975,674369,3204,70,146,1020,1968,475.1,10.4,21.7,151.3,291.8
1975,405378,3326,47,307,1134,1838,820.5,11.6,75.7,279.7,453.4
1975,496092,967,19,84,286,578,194.9,3.8,16.9,57.7,116.5
1975,449600,3158,93,110,952,2003,702.4,20.7,24.5,211.7,445.5
1975,1100426,993,18,33,256,686,90.2,1.6,3.0,23.3,62.3
1975,571934,5993,158,237,2002,3596,1047.9,27.6,41.4,350.0,628.7
1975,7422506,132182,1645,3866,43481,83190,1780.8,22.2,52.1,585.8,1120.8
1975,372663,7136,122,297,2444,4273,1914.9,32.7,79.7,655.8,1146.6
1975,337748,5900,111,316,2288,3185,1746.9,32.9,93.6,677.4,943.0
1975,384081,2666,61,249,1364,992,694.1,15.9,64.8,355.1,258.3
1975,391389,2540,36,178,1115,1211,649.0,9.2,45.5,284.9,309.4
1975,118457,1116,21,86,705,304,942.1,17.7,72.6,595.2,256.6
1975,1883253,16332,435,716,4776,10405,867.2,23.1,38.0,253.6,552.5
1975,668046,4649,75,311,2325,1938,695.9,11.2,46.6,348.0,290.1
1975,479083,4967,63,237,1923,2744,1036.8,13.2,49.5,401.4,572.8
1975,373126,4076,48,287,1898,1843,1092.4,12.9,76.9,508.7,493.9
