report_year,Population,Violent,Homicides,Rapes,Assaults,Robberies,Total_CrimeRate,Homicides_Rate,Rapes Rate,Assaults_Rate,Robberies_Rate
1990,384736,5121,34,222,3835,1030,1331,8.8,57.7,996.8,267.7
1990,261721,1876,8,139,1143,586,716.8,3.1,53.1,436.7,223.9
1990,394017,16097,231,695,9062,6109,4085.4,58.6,176.4,2299.9,1550.4
1990,222103,3191,8,170,2616,397,1436.7,3.6,76.5,1177.8,178.8
1990,465622,3326,46,280,1539,1461,714.3,9.9,60.1,330.5,313.8
1990,692134,6957,34,257,4959,1707,1005.2,4.9,37.1,716.5,246.6
1990,736014,17942,305,687,7473,9477,2437.7,41.4,93.3,1015.3,1287.6
1990,574283,13664,143,539,6960,6022,2379.3,24.9,93.9,1212,1048.6
1990,328123,5275,37,355,2711,2172,1607.6,11.3,108.2,826.2,662
1990,395934,9119,93,384,5434,3208,2303.2,23.5,97,1372.5,810.2
1990,2783726,82728,851,3607,41114,37156,2971.8,30.6,129.6,1476.9,1334.8
1990,364040,4476,49,388,2426,1613,1229.5,13.5,106.6,666.4,443.1
1990,505616,9190,168,846,3259,4917,1817.6,33.2,167.3,644.6,972.5
1990,632910,7022,89,647,2745,3541,1109.5,14.1,102.2,433.7,559.5
1990,1006877,24550,447,1344,12194,10565,2438.2,44.4,133.5,1211.1,1049.3
1990,467610,4205,67,375,2451,1312,899.3,14.3,80.2,524.2,280.6
1990,1027974,27747,582,1657,12498,13010,2699.2,56.6,161.2,1215.8,1265.6
1990,515342,5111,34,256,3440,1381,991.8,6.6,49.7,667.5,268
1990,787593,1013,27,105,391,490,128.6,3.4,13.3,49.6,62.2
1990,447619,7826,130,432,4463,2801,1748.4,29,96.5,997.1,625.8
1990,354202,4399,66,258,2483,1592,1242,18.6,72.8,701,449.5
1990,836231,2412,34,278,1211,889,288.4,4.1,33.2,144.8,106.3
1990,1630553,22637,568,1335,7813,12921,1388.3,34.8,81.9,479.2,792.4
1990,483549,6224,58,541,3983,1642,1287.2,12,111.9,823.7,339.6
1990,636680,11654,176,704,6811,3963,1830.4,27.6,110.6,1069.8,622.5
1990,434711,11087,121,517,5957,4492,2550.4,27.8,118.9,1370.3,1033.3
1990,616243,4510,79,371,1831,2229,731.9,12.8,60.2,297.1,361.7
1990,429433,8403,106,298,3806,4193,1956.8,24.7,69.4,886.3,976.4
1990,970620,17404,215,400,12125,4664,1793.1,22.2,41.2,1249.2,480.5
1990,3485398,83809,983,2014,44714,36098,2404.6,28.2,57.8,1282.9,1035.7
1990,610337,9082,195,831,3904,4152,1488,32,136.2,639.7,680.3
1990,288091,1724,9,95,1345,275,598.4,3.1,33,466.9,95.5
1990,1036888,20130,213,802,10747,8368,1941.4,20.5,77.4,1036.5,807
1990,358548,15607,129,299,7007,8172,4352.8,36,83.4,1954.3,2279.2
1990,628100,6282,155,495,1486,4146,1000.2,24.7,78.8,236.6,660.1
1990,368383,4695,55,615,1467,2558,1274.5,14.9,167,398.2,694.4
1990,744830,2089,23,195,1064,807,280.5,3.1,26.2,142.9,108.4
1990,499565,6886,67,553,4102,2164,1378.4,13.4,110.7,821.1,433.2
1990,1009921,1957,21,63,859,1014,193.8,2.1,6.2,85.1,100.4
1990,496938,11227,304,361,4514,6048,2259.2,61.2,72.6,908.4,1217.1
1990,7322564,174542,2245,3126,68891,100280,2383.6,30.7,42.7,940.8,1369.5
1990,275221,10684,112,326,4225,6021,3882,40.7,118.5,1535.1,2187.7
1990,372242,5845,146,517,1952,3230,1570.2,39.2,138.9,524.4,867.7
1990,444719,4813,68,422,2925,1398,1082.3,15.3,94.9,657.7,314.4
1990,335795,3140,12,217,2307,604,935.1,3.6,64.6,687,179.9
